"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\constants\app_colors.dart", "Dart", 18, 0, 2, 20
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\constants\app_font_style.dart", "Dart", 182, 8, 21, 211
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\constants\assets.dart", "Dart", 58, 110, 57, 225
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\drawer_controller.dart", "Dart", 14, 0, 4, 18
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\helper\color_extention.dart", "Dart", 30, 0, 4, 34
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\helper\custom_grid_painter.dart", "Dart", 32, 0, 8, 40
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\main.dart", "Dart", 23, 0, 4, 27
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\class_model.dart", "Dart", 89, 0, 4, 93
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\dashboard_item_model.dart", "Dart", 36, 0, 4, 40
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\drawer_item_model.dart", "Dart", 17, 0, 4, 21
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\item_card_user_model.dart", "Dart", 12, 1, 4, 17
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\schedule_details_model.dart", "Dart", 45, 0, 5, 50
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\student_payment_model.dart", "Dart", 14, 0, 3, 17
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\adaptive_layout_widget.dart", "Dart", 21, 0, 3, 24
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\circle_button_with_border.dart", "Dart", 36, 0, 2, 38
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\custom_search.dart", "Dart", 41, 0, 3, 44
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\header_with_search.dart", "Dart", 35, 0, 2, 37
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\pagination.dart", "Dart", 93, 0, 3, 96
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\row_info.dart", "Dart", 35, 0, 4, 39
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\size_config.dart", "Dart", 10, 0, 4, 14
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\classes.dart", "Dart", 9, 0, 2, 11
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\classes_with_trailing.dart", "Dart", 30, 0, 3, 33
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\widgets\classes_grid_view.dart", "Dart", 25, 0, 3, 28
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\widgets\classes_grid_view_item.dart", "Dart", 53, 0, 3, 56
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\dashboard_view.dart", "Dart", 34, 0, 2, 36
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\dashboard_with_trailing.dart", "Dart", 35, 0, 3, 38
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\dashboard_item.dart", "Dart", 41, 0, 3, 44
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\dashboard_section_calender.dart", "Dart", 29, 0, 3, 32
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\dashboard_section_details.dart", "Dart", 29, 0, 3, 32
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\fl_char.dart", "Dart", 209, 0, 19, 228
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\header_flchar.dart", "Dart", 38, 0, 3, 41
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\item_inside_header_flchar.dart", "Dart", 52, 0, 3, 55
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\row_days.dart", "Dart", 21, 0, 4, 25
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\row_unpaid_student.dart", "Dart", 129, 0, 4, 133
