"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\row_info.dart", "Dart", 1, 0, 0, 1
"Total", "-", 1, 0, 0, 1
